Food Item,Size,Price,Category
Turkey Breast,,$4.99,Subway Kids Meal
Veggie Delite,,$4.99,Subway Kids Meal
Chicken Caesar,,$6.49,Subway Chopped Salads Menu
Pizza Sub,,$7.48,Subway Chopped Salads Menu
Rotisserie-Style Chicken,,$7.78,Subway Chopped Salads Menu
Rotisserie-Style Chicken & Bacon,,$8.78,Subway Chopped Salads Menu
B.L.T.,,$7.78,Subway Chopped Salads Menu
Turkey & Bacon Guacamole,,$9.28,Subway Chopped Salads Menu
Black Forest Ham,,$7.78,Subway Chopped Salads Menu
Chicken & Bacon Ranch,,$8.78,Subway Chopped Salads Menu
Cold Cut Combo,,$6.48,Subway Chopped Salads Menu
Italian B.M.T.,,$7.78,Subway Chopped Salads Menu
Meatball Marinara,,$6.48,Subway Chopped Salads Menu
Roast Beef,,$8.78,Subway Chopped Salads Menu
Spicy Italian,,$7.78,Subway Chopped Salads Menu
Steak & Cheese,,$8.78,Subway Chopped Salads Menu
Subway Club,,$8.78,Subway Chopped Salads Menu
Subway Melt,,$8.78,Subway Chopped Salads Menu
Sweet Onion Chicken Teriyaki,,$7.78,Subway Chopped Salads Menu
Tuna,,$7.78,Subway Chopped Salads Menu
Turkey Breast,,$7.78,Subway Chopped Salads Menu
Veggie Delite,,$5.98,Subway Chopped Salads Menu
Ham and Jack,,$1.89,Subway Sliders
Italian Spice,,$1.89,Subway Sliders
Little Cheesesteak,,$2.39,Subway Sliders
Little Turkey,,$2.19,Subway Sliders
Apple Sauce,,$1.49,Subway Sides
Chips,,$1.49,Subway Sides
Chocolate Chip Cookie,,$0.59,Subway Sides
Oatmeal Raisin Cookie,,$0.59,Subway Sides
Double Chocolate Cookie,,$0.59,Subway Sides
White Chip Macadamia Nut Cookie,,$0.59,Subway Sides
Dark Chocolate Cherry Cookie,,$0.59,Subway Sides
Coffee,,$1.29,Subway Drinks Menu
Fountain Drinks,20 oz,$1.89,Subway Drinks Menu
Fountain Drinks,30 oz,$1.99,Subway Drinks Menu
Fountain Drinks,40 oz,$2.19,Subway Drinks Menu
Dasani Water,,$2.19,Subway Drinks Menu
X2 All Natural Energy Raspberry,,$2.49,Subway Drinks Menu
Gatorade Lemon Lime,,$2.19,Subway Drinks Menu
Honest Kids,,$1.19,Subway Drinks Menu
Gatorade Fruit Punch,,$2.19,Subway Drinks Menu
X2 All Natural Energy Strawberry Kiwi,,$2.49,Subway Drinks Menu
X2 All Natural Energy Fruit Punch,,$2.49,Subway Drinks Menu
Cool Blue,,$2.19,Subway Drinks Menu
Bottled Beverage,,$2.19,Subway Drinks Menu
1% Low Fat Milk,,$1.79,Subway Drinks Menu
Juices,,$1.99,Subway Drinks Menu
