Quantity1,Quantity2,Quantity3,Discount,Type1,Type2,Type3,Name,Location
2,-,-,1.29,Classic,-,-,Combo1,PizzaPizza
1,1,-,0.8,Classic,Fountain,-,Combo2,PizzaPizza
